Student_ID,Class,Study_Hours_Per_Day,Attendance_Percentage,Performance_Index,Risk_Level,Trend,Key_Insight,Recommendation
S0020,11,3.6,66,77.47,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S0021,10,4.7,65,79.13,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0022,12,2.8,83,83.93,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S0023,12,5.3,72,77.73,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0024,10,4.6,54,74.0,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S0025,10,0.9,98,48.87,Medium Risk,Stable,Poor study discipline is the primary cause of academic risk and possible distraction from internet use.,"1. Increase daily study to minimum 4 hours.
2. Limit non-academic internet usage."
S0026,9,5.1,78,84.53,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S0027,12,2.0,75,59.93,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0028,12,0.9,91,46.27,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0029,12,4.3,87,84.2,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0030,11,3.5,69,74.27,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0031,9,1.8,85,63.67,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0032,12,1.1,78,55.27,Medium Risk,Stable,Poor study discipline is the primary cause of academic risk.,1. Increase daily study to minimum 4 hours.
S0033,10,1.4,58,49.33,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0034,11,3.0,94,69.07,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S0035,12,2.3,79,71.47,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0036,10,3.4,87,80.2,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S0037,10,3.9,54,83.53,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S0038,11,1.2,63,50.47,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0039,11,1.7,97,67.47,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0040,12,2.0,100,65.87,Low Risk,Improving,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Reduce extracurricular load temporarily."
S0041,10,5.2,95,85.27,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0042,11,4.1,64,84.67,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S0043,12,4.5,56,75.47,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S0044,9,4.8,68,81.73,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S0045,10,3.4,91,80.47,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S0046,9,1.9,55,53.87,Medium Risk,Improving,Poor study discipline is the primary cause of academic risk.,1. Increase daily study to minimum 4 hours.
S0047,10,2.6,96,73.07,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S0048,12,0.8,80,48.93,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0049,12,1.0,63,45.67,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0050,11,2.8,95,75.0,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0051,11,1.3,69,61.47,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0052,11,5.3,63,81.53,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S0053,11,4.7,76,83.33,Low Risk,Declining,Strong overall performance with no immediate academic risk.,2. Do weekly performance monitoring.
S0054,11,1.5,92,62.47,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0055,11,5.3,80,76.93,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0056,12,4.2,75,86.47,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S0057,12,3.9,97,90.13,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S0058,9,3.0,64,68.4,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0059,12,3.6,90,87.2,Low Risk,Stable,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S0060,10,3.5,51,74.93,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S0061,9,4.0,82,83.2,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S0062,10,1.8,99,65.0,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S0063,11,1.9,66,67.67,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S0064,12,1.9,56,50.87,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and possible distraction from internet use.,"1. Increase daily study to minimum 4 hours.
2. Limit non-academic internet usage."
S0065,12,3.6,84,80.67,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S0066,10,2.7,55,66.13,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S0067,10,4.4,71,77.8,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0068,10,5.4,96,85.07,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0069,10,3.4,77,77.27,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S0070,9,5.8,91,88.47,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S0071,10,1.5,50,54.2,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0072,12,3.6,58,78.8,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S0073,11,1.8,76,58.8,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0074,11,2.9,57,70.13,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0075,9,5.7,84,85.6,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S0076,12,2.2,67,64.07,Medium Risk,Improving,Poor study discipline is the primary cause of academic risk and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Reduce extracurricular load temporarily."
S0077,12,1.3,50,46.2,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0078,10,2.1,57,60.93,Medium Risk,Improving,Poor study discipline is the primary cause of academic risk.,1. Increase daily study to minimum 4 hours.
S0079,11,1.9,91,63.2,Medium Risk,Improving,Poor study discipline is the primary cause of academic risk.,1. Increase daily study to minimum 4 hours.
S0080,11,1.3,87,58.4,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0081,10,4.5,68,82.8,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Improve class attendance to >75%.
2. Do weekly performance monitoring."
S0082,9,2.4,82,70.4,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0083,12,2.3,98,58.73,Medium Risk,Improving,Poor study discipline is the primary cause of academic risk and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Reduce extracurricular load temporarily."
S0084,11,3.4,60,76.13,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S0085,9,5.7,92,77.2,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0086,10,5.6,68,88.27,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S0087,12,3.1,60,67.93,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S0088,11,2.6,60,60.0,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0089,10,3.5,93,79.07,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0090,11,0.8,55,41.27,High Risk,Declining,Poor study discipline is the primary cause of high academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0091,12,4.2,83,77.53,Low Risk,Improving,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Limit non-academic internet usage."
S0092,11,2.9,54,59.93,Medium Risk,Stable,Poor study discipline is the primary cause of academic risk and possible distraction from internet use.,"1. Increase daily study to minimum 4 hours.
2. Limit non-academic internet usage."
S0093,11,4.3,50,74.27,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0094,9,4.1,50,77.73,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S0095,10,3.9,76,88.47,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S0096,12,2.3,73,58.67,Medium Risk,Improving,Poor study discipline is the primary cause of academic risk.,1. Increase daily study to minimum 4 hours.
S0097,11,0.5,75,48.8,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0098,12,2.3,66,55.53,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0099,9,1.9,52,58.47,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0100,12,5.8,84,83.33,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0101,11,3.9,70,83.8,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S0102,9,5.3,92,85.87,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0103,9,5.1,90,84.53,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0104,12,1.9,89,68.53,Low Risk,Improving,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Reduce extracurricular load temporarily."
S0105,9,5.3,61,77.53,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S0106,12,3.5,72,78.07,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Improve class attendance to >75%.
2. Do weekly performance monitoring."
S0107,11,2.2,67,63.0,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0108,12,0.7,57,43.47,High Risk,Declining,Poor study discipline is the primary cause of high academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0109,10,0.9,76,49.0,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0110,12,4.8,79,91.8,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S0111,12,3.2,88,70.53,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Limit non-academic internet usage."
S0112,10,4.5,74,89.33,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S0113,10,2.6,66,61.87,Medium Risk,Stable,Poor study discipline is the primary cause of academic risk.,1. Increase daily study to minimum 4 hours.
S0114,10,3.7,51,70.67,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S0115,10,5.9,55,81.0,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Improve class attendance to >75%.
2. Do weekly performance monitoring."
S0116,12,0.8,68,51.73,Medium Risk,Stable,Poor study discipline is the primary cause of academic risk and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Reduce extracurricular load temporarily."
S0117,9,3.4,77,75.4,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0118,11,4.3,77,86.73,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S0119,10,5.1,76,86.8,Low Risk,Stable,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S0120,12,4.5,55,68.33,Low Risk,Improving,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Limit non-academic internet usage."
S0121,9,5.6,66,82.53,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S0122,9,0.6,99,59.13,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0123,10,5.6,68,84.27,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S0124,10,4.1,94,82.4,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0125,12,5.0,72,76.93,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0126,9,2.3,66,63.53,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0127,11,2.5,63,62.8,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0128,11,4.9,61,79.8,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0129,10,1.7,74,68.07,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S0130,9,2.5,85,76.53,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S0131,11,0.8,75,53.27,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0132,9,1.7,100,66.87,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0133,10,1.2,84,59.87,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0134,12,2.7,80,67.27,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0135,9,1.1,97,62.67,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0136,11,3.9,72,78.33,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0137,12,1.5,83,64.53,Medium Risk,Stable,Poor study discipline is the primary cause of academic risk.,1. Increase daily study to minimum 4 hours.
S0138,9,2.3,88,73.67,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0139,11,5.5,60,86.93,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S0140,12,5.1,85,87.93,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S0141,10,5.7,89,85.4,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0142,9,5.7,60,80.67,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Improve class attendance to >75%.
2. Do weekly performance monitoring."
S0143,10,4.7,76,82.13,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0144,11,1.4,94,58.53,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0145,12,4.3,56,88.4,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S0146,12,4.1,82,75.47,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Limit non-academic internet usage."
S0147,11,1.4,54,51.73,Medium Risk,Improving,Poor study discipline is the primary cause of academic risk and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Reduce extracurricular load temporarily."
S0148,11,5.3,91,82.33,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0149,9,3.2,59,64.73,Medium Risk,Improving,Academic weakness is the primary cause of academic risk and possible distraction from internet use.,"1. Focus on core subject remediation.
2. Limit non-academic internet usage."
S0150,9,5.2,99,86.2,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0151,12,5.0,71,75.4,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Limit non-academic internet usage."
S0152,11,3.4,83,78.2,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0153,11,4.4,72,83.47,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S0154,10,3.2,98,79.2,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0155,10,5.4,84,88.0,Low Risk,Improving,Strong overall performance with no immediate academic risk.,Maintain Current Habits
S0156,9,3.6,86,76.27,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0157,11,0.6,55,48.6,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0158,12,5.6,75,75.67,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0159,12,2.8,98,70.4,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S0160,12,0.7,71,44.27,High Risk,Declining,Poor study discipline is the primary cause of high academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0161,10,2.5,97,70.27,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S0162,10,3.7,53,71.6,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S0163,9,1.1,74,49.13,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0164,10,5.7,63,82.87,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S0165,12,2.4,53,61.13,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0166,12,5.0,55,78.33,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0167,12,1.9,60,54.73,Medium Risk,Improving,Poor study discipline is the primary cause of academic risk.,1. Increase daily study to minimum 4 hours.
S0168,12,0.8,75,47.93,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0169,11,3.5,60,69.0,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0170,9,5.7,72,84.4,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S0171,9,5.8,89,85.4,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S0172,10,5.0,58,77.33,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0173,10,5.6,96,83.87,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0174,10,5.2,50,78.67,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S0175,10,1.1,82,45.8,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0176,10,4.2,54,79.07,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S0177,11,4.3,71,74.2,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0178,12,3.1,87,77.33,Low Risk,Stable,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S0179,10,3.0,78,70.67,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0180,11,1.7,68,54.2,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0181,12,3.1,82,70.2,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S0182,12,1.1,94,60.2,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0183,12,3.7,73,80.67,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Improve class attendance to >75%.
S0184,10,4.4,81,81.13,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0185,10,2.5,79,69.87,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Increase daily study to minimum 4 hours.
S0186,10,4.6,84,80.13,Low Risk,Improving,Strong overall performance with no immediate academic risk.,1. Focus on core subject remediation.
S0187,12,1.7,77,62.53,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0188,10,3.8,78,80.27,Low Risk,Declining,Strong overall performance with no immediate academic risk.,"1. Focus on core subject remediation.
2. Do weekly performance monitoring."
S0189,12,1.4,61,49.53,Medium Risk,Declining,Poor study discipline is the primary cause of academic risk reinforced by declining performance trend and overcommitment to extracurricular activities.,"1. Increase daily study to minimum 4 hours.
2. Do weekly performance monitoring."
S0190,9,3.5,93,83.2,Low Risk,Stable,Strong overall performance with no immediate academic risk.,Maintain Current Habits
