Student_ID,Class,Study_Hours_Per_Day,Attendance_Percentage,Internet_Access,Extracurricular_Activities,Math_Score,Science_Score,English_Score,Previous_Year_Score,Study_Discipline_Score,Attendance_Score,Academic_Score,Performance_Index,Risk_Level,Difference,Trend
S0098,12,2.3,66,No,Yes,60,49,36,84,57.49999999999999,66,48.33,55.53,Medium Risk,-28.47,Declining
S0099,9,1.9,52,No,Yes,85,78,55,94,47.5,52,72.67,58.47,Medium Risk,-35.53,Declining
S0100,12,5.8,84,No,No,46,77,76,54,100.0,84,66.33,83.33,Low Risk,29.33,Improving
S0101,11,3.9,70,Yes,Yes,76,76,79,44,97.5,70,77.0,83.8,Low Risk,39.8,Improving
S0102,9,5.3,92,No,Yes,91,37,78,77,100.0,92,68.67,85.87,Low Risk,8.87,Improving
S0103,9,5.1,90,No,No,71,92,36,67,100.0,90,66.33,84.53,Low Risk,17.53,Improving
S0104,12,1.9,89,Yes,Yes,80,77,81,41,47.5,89,79.33,68.53,Low Risk,27.53,Improving
S0105,9,5.3,61,Yes,No,97,36,57,95,100.0,61,63.33,77.53,Low Risk,-17.47,Declining
S0106,12,3.5,72,Yes,Yes,77,73,65,88,87.5,72,71.67,78.07,Low Risk,-9.93,Declining
S0107,11,2.2,67,No,No,93,67,47,87,55.00000000000001,67,69.0,63.0,Medium Risk,-24.0,Declining
S0108,12,0.7,57,No,Yes,75,59,54,58,17.5,57,62.67,43.47,High Risk,-14.53,Declining
S0109,10,0.9,76,No,Yes,49,44,93,78,22.5,76,62.0,49.0,Medium Risk,-29.0,Declining
S0110,12,4.8,79,No,Yes,86,88,96,75,100.0,79,90.0,91.8,Low Risk,16.8,Improving
S0111,12,3.2,88,Yes,No,70,40,47,87,80.0,88,52.33,70.53,Low Risk,-16.47,Declining
S0112,10,4.5,74,No,No,72,100,87,55,100.0,74,86.33,89.33,Low Risk,34.33,Improving
S0113,10,2.6,66,Yes,No,65,56,49,62,65.0,66,56.67,61.87,Medium Risk,-0.13,Stable
S0114,10,3.7,51,No,No,47,77,52,82,92.5,51,58.67,70.67,Low Risk,-11.33,Declining
S0115,10,5.9,55,Yes,Yes,91,43,91,95,100.0,55,75.0,81.0,Low Risk,-14.0,Declining
S0116,12,0.8,68,No,Yes,55,96,75,51,20.0,68,75.33,51.73,Medium Risk,0.73,Stable
S0117,9,3.4,77,No,Yes,87,61,47,66,85.0,77,65.0,75.4,Low Risk,9.4,Improving
S0118,11,4.3,77,No,Yes,69,68,98,57,100.0,77,78.33,86.73,Low Risk,29.73,Improving
S0119,10,5.1,76,No,Yes,94,69,74,85,100.0,76,79.0,86.8,Low Risk,1.8,Stable
S0120,12,4.5,55,Yes,No,46,45,39,59,100.0,55,43.33,68.33,Low Risk,9.33,Improving
S0121,9,5.6,66,No,No,43,85,92,77,100.0,66,73.33,82.53,Low Risk,5.53,Improving
S0122,9,0.6,99,No,No,90,85,75,72,15.0,99,83.33,59.13,Medium Risk,-12.87,Declining
S0123,10,5.6,68,No,Yes,96,65,69,46,100.0,68,76.67,84.27,Low Risk,38.27,Improving
S0124,10,4.1,94,No,Yes,36,82,59,77,100.0,94,59.0,82.4,Low Risk,5.4,Improving
S0125,12,5.0,72,No,No,59,42,68,72,100.0,72,56.33,76.93,Low Risk,4.93,Stable
S0126,9,2.3,66,No,Yes,45,89,71,75,57.49999999999999,66,68.33,63.53,Medium Risk,-11.47,Declining
S0127,11,2.5,63,No,No,49,40,100,92,62.5,63,63.0,62.8,Medium Risk,-29.2,Declining
S0128,11,4.9,61,No,Yes,70,41,96,51,100.0,61,69.0,79.8,Low Risk,28.8,Improving
S0129,10,1.7,74,Yes,No,83,89,100,73,42.5,74,90.67,68.07,Low Risk,-4.93,Stable
S0130,9,2.5,85,Yes,Yes,72,96,91,65,62.5,85,86.33,76.53,Low Risk,11.53,Improving
S0131,11,0.8,75,No,Yes,71,99,57,69,20.0,75,75.67,53.27,Medium Risk,-15.73,Declining
S0132,9,1.7,100,Yes,Yes,89,50,85,83,42.5,100,74.67,66.87,Low Risk,-16.13,Declining
S0133,10,1.2,84,Yes,Yes,47,93,93,82,30.0,84,77.67,59.87,Medium Risk,-22.13,Declining
S0134,12,2.7,80,No,No,59,49,74,84,67.5,80,60.67,67.27,Low Risk,-16.73,Declining
S0135,9,1.1,97,Yes,Yes,72,78,92,75,27.500000000000004,97,80.67,62.67,Medium Risk,-12.33,Declining
S0136,11,3.9,72,Yes,Yes,79,49,59,78,97.5,72,62.33,78.33,Low Risk,0.33,Stable
S0137,12,1.5,83,Yes,No,81,93,73,62,37.5,83,82.33,64.53,Medium Risk,2.53,Stable
S0138,9,2.3,88,No,Yes,94,71,83,90,57.49999999999999,88,82.67,73.67,Low Risk,-16.33,Declining
S0139,11,5.5,60,Yes,No,81,84,97,45,100.0,60,87.33,86.93,Low Risk,41.93,Improving
S0140,12,5.1,85,Yes,No,56,90,86,53,100.0,85,77.33,87.93,Low Risk,34.93,Improving
S0141,10,5.7,89,No,Yes,96,52,59,45,100.0,89,69.0,85.4,Low Risk,40.4,Improving
S0142,9,5.7,60,No,No,97,77,41,89,100.0,60,71.67,80.67,Low Risk,-8.33,Declining
S0143,10,4.7,76,Yes,No,80,52,70,50,100.0,76,67.33,82.13,Low Risk,32.13,Improving
S0144,11,1.4,94,No,Yes,46,65,82,82,35.0,94,64.33,58.53,Medium Risk,-23.47,Declining
S0145,12,4.3,56,No,Yes,83,99,97,57,100.0,56,93.0,88.4,Low Risk,31.4,Improving
S0146,12,4.1,82,Yes,No,51,48,44,88,100.0,82,47.67,75.47,Low Risk,-12.53,Declining
S0147,11,1.4,54,Yes,Yes,96,56,50,41,35.0,54,67.33,51.73,Medium Risk,10.73,Improving
S0148,11,5.3,91,No,Yes,65,51,65,80,100.0,91,60.33,82.33,Low Risk,2.33,Stable
S0149,9,3.2,59,Yes,No,72,45,40,44,80.0,59,52.33,64.73,Medium Risk,20.73,Improving
S0150,9,5.2,99,Yes,No,63,57,78,43,100.0,99,66.0,86.2,Low Risk,43.2,Improving
S0151,12,5.0,71,Yes,No,56,61,42,91,100.0,71,53.0,75.4,Low Risk,-15.6,Declining
S0152,11,3.4,83,Yes,No,70,40,97,64,85.0,83,69.0,78.2,Low Risk,14.2,Improving
S0153,11,4.4,72,No,Yes,77,42,99,76,100.0,72,72.67,83.47,Low Risk,7.47,Improving
S0154,10,3.2,98,No,Yes,62,81,64,84,80.0,98,69.0,79.2,Low Risk,-4.8,Stable
S0155,10,5.4,84,No,Yes,71,82,81,66,100.0,84,78.0,88.0,Low Risk,22.0,Improving
S0156,9,3.6,86,No,No,87,47,39,73,90.0,86,57.67,76.27,Low Risk,3.27,Stable
S0157,11,0.6,55,No,No,40,100,97,79,15.0,55,79.0,48.6,Medium Risk,-30.4,Declining
S0158,12,5.6,75,No,No,44,60,51,80,100.0,75,51.67,75.67,Low Risk,-4.33,Stable
S0159,12,2.8,98,Yes,Yes,49,47,75,43,70.0,98,57.0,70.4,Low Risk,27.4,Improving
S0160,12,0.7,71,No,Yes,43,60,70,54,17.5,71,57.67,44.27,High Risk,-9.73,Declining
S0161,10,2.5,97,No,No,77,81,36,52,62.5,97,64.67,70.27,Low Risk,18.27,Improving
S0162,10,3.7,53,Yes,Yes,39,79,62,82,92.5,53,60.0,71.6,Low Risk,-10.4,Declining
S0163,9,1.1,74,Yes,Yes,40,63,72,64,27.500000000000004,74,58.33,49.13,Medium Risk,-14.87,Declining
S0164,10,5.7,63,Yes,Yes,88,62,77,42,100.0,63,75.67,82.87,Low Risk,40.87,Improving
S0165,12,2.4,53,Yes,Yes,94,37,68,81,60.0,53,66.33,61.13,Medium Risk,-19.87,Declining
S0166,12,5.0,55,Yes,No,65,81,59,67,100.0,55,68.33,78.33,Low Risk,11.33,Improving
S0167,12,1.9,60,No,No,78,62,38,44,47.5,60,59.33,54.73,Medium Risk,10.73,Improving
S0168,12,0.8,75,No,Yes,44,70,73,88,20.0,75,62.33,47.93,Medium Risk,-40.07,Declining
S0169,11,3.5,60,Yes,Yes,51,61,53,44,87.5,60,55.0,69.0,Low Risk,25.0,Improving
S0170,9,5.7,72,Yes,Yes,48,79,98,60,100.0,72,75.0,84.4,Low Risk,24.4,Improving
S0171,9,5.8,89,Yes,No,91,48,68,95,100.0,89,69.0,85.4,Low Risk,-9.6,Declining
S0172,10,5.0,58,No,Yes,41,67,85,69,100.0,58,64.33,77.33,Low Risk,8.33,Improving
S0173,10,5.6,96,No,No,75,69,41,45,100.0,96,61.67,83.87,Low Risk,38.87,Improving
S0174,10,5.2,50,No,No,35,84,96,61,100.0,50,71.67,78.67,Low Risk,17.67,Improving
S0175,10,1.1,82,No,Yes,55,48,35,68,27.500000000000004,82,46.0,45.8,Medium Risk,-22.2,Declining
S0176,10,4.2,54,Yes,Yes,64,61,87,49,100.0,54,70.67,79.07,Low Risk,30.07,Improving
S0177,11,4.3,71,No,Yes,45,45,60,43,100.0,71,50.0,74.2,Low Risk,31.2,Improving
S0178,12,3.1,87,No,No,93,89,35,80,77.5,87,72.33,77.33,Low Risk,-2.67,Stable
S0179,10,3.0,78,Yes,No,80,55,53,77,75.0,78,62.67,70.67,Low Risk,-6.33,Declining
S0180,11,1.7,68,No,No,64,57,56,62,42.5,68,59.0,54.2,Medium Risk,-7.8,Declining
S0181,12,3.1,82,Yes,Yes,61,48,62,65,77.5,82,57.0,70.2,Low Risk,5.2,Improving
S0182,12,1.1,94,No,No,72,85,71,92,27.500000000000004,94,76.0,60.2,Medium Risk,-31.8,Declining
S0183,12,3.7,73,No,No,42,81,95,61,92.5,73,72.67,80.67,Low Risk,19.67,Improving
S0184,10,4.4,81,Yes,No,47,75,65,58,100.0,81,62.33,81.13,Low Risk,23.13,Improving
S0185,10,2.5,79,Yes,Yes,69,88,61,43,62.5,79,72.67,69.87,Low Risk,26.87,Improving
S0186,10,4.6,84,No,No,62,70,43,46,100.0,84,58.33,80.13,Low Risk,34.13,Improving
S0187,12,1.7,77,No,No,61,68,97,74,42.5,77,75.33,62.53,Medium Risk,-11.47,Declining
S0188,10,3.8,78,Yes,Yes,94,65,41,92,95.0,78,66.67,80.27,Low Risk,-11.73,Declining
S0189,12,1.4,61,Yes,Yes,72,42,61,81,35.0,61,58.33,49.53,Medium Risk,-31.47,Declining
S0190,9,3.5,93,Yes,Yes,78,50,94,88,87.5,93,74.0,83.2,Low Risk,-4.8,Stable
S0191,12,1.4,89,Yes,No,98,43,57,62,35.0,89,66.0,58.2,Medium Risk,-3.8,Stable
S0192,11,4.6,93,Yes,Yes,38,68,79,50,100.0,93,61.67,83.27,Low Risk,33.27,Improving
S0193,11,3.1,97,No,Yes,78,45,58,77,77.5,97,60.33,74.53,Low Risk,-2.47,Stable
S0194,11,1.4,67,Yes,Yes,53,52,84,89,35.0,67,63.0,52.6,Medium Risk,-36.4,Declining
S0195,12,5.5,94,No,Yes,88,42,84,80,100.0,94,71.33,87.33,Low Risk,7.33,Improving
S0196,12,3.5,84,No,No,39,58,46,41,87.5,84,47.67,70.87,Low Risk,29.87,Improving
S0197,11,2.6,88,No,No,99,39,73,42,65.0,88,70.33,71.73,Low Risk,29.73,Improving
S0198,10,0.6,94,Yes,Yes,69,37,69,65,15.0,94,58.33,48.13,Medium Risk,-16.87,Declining
S0199,10,2.0,93,No,No,65,99,47,68,50.0,93,70.33,66.73,Low Risk,-1.27,Stable
S0200,10,1.3,50,No,No,84,53,79,66,32.5,50,72.0,51.8,Medium Risk,-14.2,Declining
S0201,10,4.7,53,Yes,No,76,65,91,41,100.0,53,77.33,81.53,Low Risk,40.53,Improving
S0202,10,1.3,99,Yes,Yes,36,39,51,65,32.5,99,42.0,49.6,Medium Risk,-15.4,Declining
S0203,9,1.4,57,No,Yes,89,39,87,84,35.0,57,71.67,54.07,Medium Risk,-29.93,Declining
S0204,11,4.8,56,No,Yes,62,64,74,56,100.0,56,66.67,77.87,Low Risk,21.87,Improving
S0205,10,1.7,83,Yes,No,42,62,47,62,42.5,83,50.33,53.73,Medium Risk,-8.27,Declining
S0206,12,3.8,75,Yes,Yes,86,74,98,55,95.0,75,86.0,87.4,Low Risk,32.4,Improving
S0207,9,4.6,89,Yes,No,35,91,42,41,100.0,89,56.0,80.2,Low Risk,39.2,Improving
S0208,12,5.5,52,Yes,Yes,56,90,76,87,100.0,52,74.0,80.0,Low Risk,-7.0,Declining
S0209,12,3.1,51,Yes,Yes,87,95,35,43,77.5,51,72.33,70.13,Low Risk,27.13,Improving
S0210,12,5.7,63,No,No,99,58,86,56,100.0,63,81.0,85.0,Low Risk,29.0,Improving
S0211,12,3.9,50,Yes,Yes,65,51,61,82,97.5,50,59.0,72.6,Low Risk,-9.4,Declining
S0212,9,2.3,98,No,Yes,61,97,69,66,57.49999999999999,98,75.67,72.87,Low Risk,6.87,Improving
S0213,11,1.9,59,Yes,No,93,46,86,44,47.5,59,75.0,60.8,Medium Risk,16.8,Improving
S0214,12,4.1,56,No,No,83,67,86,56,100.0,56,78.67,82.67,Low Risk,26.67,Improving
S0215,12,4.7,71,No,No,69,36,49,54,100.0,71,51.33,74.73,Low Risk,20.73,Improving
S0216,12,0.5,88,No,No,66,80,95,63,12.5,88,80.33,54.73,Medium Risk,-8.27,Declining
S0217,9,1.8,91,Yes,Yes,88,70,74,56,45.0,91,77.33,67.13,Low Risk,11.13,Improving
S0218,9,5.7,51,Yes,No,63,37,96,75,100.0,51,65.33,76.33,Low Risk,1.33,Stable
S0219,12,5.1,91,Yes,Yes,78,88,81,81,100.0,91,82.33,91.13,Low Risk,10.13,Improving
S0220,9,2.4,52,No,No,55,43,74,81,60.0,52,57.33,57.33,Medium Risk,-23.67,Declining
S0221,12,3.6,53,No,Yes,76,50,68,88,90.0,53,64.67,72.47,Low Risk,-15.53,Declining
S0222,10,2.1,61,No,Yes,55,69,68,57,52.5,61,64.0,58.8,Medium Risk,1.8,Stable
S0223,12,1.0,86,Yes,Yes,65,83,80,46,25.0,86,76.0,57.6,Medium Risk,11.6,Improving
S0224,11,3.1,58,No,Yes,96,98,71,84,77.5,58,88.33,77.93,Low Risk,-6.07,Declining
S0225,10,2.9,53,No,Yes,54,63,41,88,72.5,53,52.67,60.67,Medium Risk,-27.33,Declining
S0226,10,4.6,53,Yes,No,40,86,59,64,100.0,53,61.67,75.27,Low Risk,11.27,Improving
S0227,9,6.0,97,No,Yes,63,79,48,74,100.0,97,63.33,84.73,Low Risk,10.73,Improving
S0228,12,2.9,87,Yes,Yes,38,52,50,64,72.5,87,46.67,65.07,Low Risk,1.07,Stable
S0229,10,1.9,75,Yes,Yes,72,95,70,76,47.5,75,79.0,65.6,Low Risk,-10.4,Declining
S0230,11,1.0,74,No,Yes,93,58,64,56,25.0,74,71.67,53.47,Medium Risk,-2.53,Stable
S0231,9,2.5,98,No,Yes,47,74,76,73,62.5,98,65.67,70.87,Low Risk,-2.13,Stable
S0232,10,3.9,74,No,No,43,37,73,68,97.5,74,51.0,74.2,Low Risk,6.2,Improving
S0233,9,5.6,97,No,Yes,99,84,86,51,100.0,97,89.67,95.27,Low Risk,44.27,Improving
S0234,10,4.0,63,Yes,Yes,94,96,49,88,100.0,63,79.67,84.47,Low Risk,-3.53,Stable
S0235,10,3.9,67,No,No,87,52,38,93,97.5,67,59.0,76.0,Low Risk,-17.0,Declining
S0236,9,2.6,53,Yes,No,78,90,83,69,65.0,53,83.67,70.07,Low Risk,1.07,Stable
S0237,9,1.3,56,No,Yes,75,72,97,53,32.5,56,81.33,56.73,Medium Risk,3.73,Stable
S0238,12,4.5,54,Yes,No,72,83,80,41,100.0,54,78.33,82.13,Low Risk,41.13,Improving
S0239,10,5.8,52,No,No,35,63,81,59,100.0,52,59.67,74.27,Low Risk,15.27,Improving
S0240,12,0.6,91,No,Yes,45,52,98,63,15.0,91,65.0,50.2,Medium Risk,-12.8,Declining
S0241,11,5.9,89,No,No,47,65,57,65,100.0,89,56.33,80.33,Low Risk,15.33,Improving
S0242,10,1.9,57,Yes,Yes,58,60,94,83,47.5,57,70.67,58.67,Medium Risk,-24.33,Declining
S0243,11,3.1,88,No,No,64,78,36,93,77.5,88,59.33,72.33,Low Risk,-20.67,Declining
S0244,11,2.8,64,Yes,No,54,72,89,73,70.0,64,71.67,69.47,Low Risk,-3.53,Stable
S0245,10,1.2,91,Yes,No,49,99,67,60,30.0,91,71.67,58.87,Medium Risk,-1.13,Stable
S0246,10,5.8,95,No,Yes,67,50,37,55,100.0,95,51.33,79.53,Low Risk,24.53,Improving
S0247,10,0.9,97,No,No,52,99,83,44,22.5,97,78.0,59.6,Medium Risk,15.6,Improving
S0248,11,3.7,95,Yes,Yes,58,41,48,85,92.5,95,49.0,75.6,Low Risk,-9.4,Declining
S0249,10,1.8,89,No,No,36,58,59,42,45.0,89,51.0,56.2,Medium Risk,14.2,Improving
S0250,9,4.3,59,No,No,65,53,73,56,100.0,59,63.67,77.27,Low Risk,21.27,Improving
